company,employees,trade,naics,authority,state,city,address,zip,penalty,citations,violation_types,issued,activity_nr,osha_url
TPC GROUP LLC,6,Manufacturing_Industrial,325110,Federal OSHA,TX,HOUSTON,2066 GOODYEAR DRIVE,77017,33100.0,2,Serious,2026-07-28T00:00:00,348734856,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348734856
"TURNAROUND SERVICES, LLC",6,Other,811310,Federal OSHA,TX,HOUSTON,2066 GOODYEAR DRIVE,77017,23832.0,2,Serious,2026-07-28T00:00:00,348734799,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348734799
SOUTH COAST MANUFACTURING LLC,15,Metal_Welding_Fabrication,332312,Federal OSHA,TX,GALENA PARK,502 SOUTH MAIN STREET,77547,8514.0,7,Other,2026-07-22T00:00:00,348942194,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348942194
AGUIRRES ROOFING LLC,6,Roofing,238160,Federal OSHA,TX,HUMBLE,610 NORTH HOUSTON AVE,77338,14754.0,5,Serious/Other,2026-07-20T00:00:00,348736489,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348736489
APEX FRAMING LLC,9,Construction_General,238130,Federal OSHA,TX,WEBSTER,3015 SOLACE SPRINGS LN,77598,10782.0,4,Serious,2026-07-13T00:00:00,349006387,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=349006387
JAIME MARTINEZ,6,Construction_General,238130,Federal OSHA,TX,WEBSTER,3018 MELLOW PINES LN,77598,9930.0,3,Serious,2026-07-13T00:00:00,349006270,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=349006270
JOSE GARCIA,3,Roofing,238160,Federal OSHA,TX,WEBSTER,18027 DISCOVERY ELM ST,77598,6242.0,2,Serious,2026-07-13T00:00:00,349006312,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=349006312
JUAN LOPEZ,4,Roofing,238160,Federal OSHA,TX,WEBSTER,2954 MELLOW PINES LN,77598,2838.0,1,Serious,2026-07-13T00:00:00,349006239,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=349006239
EAST SIGNS HOUSTON L.L.C.,2,Construction_General,238990,Federal OSHA,TX,HOUSTON,7636 CLAREWOOD DRIVE,77036,7094.0,1,Repeat,2026-07-09T00:00:00,348920083,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348920083
ROMERO MAURO GARCIA,4,Roofing,238160,Federal OSHA,TX,CYPRESS,20054 SUNSET SERENADE,77433,5676.0,2,Serious,2026-07-09T00:00:00,348853235,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348853235
