company,employees,trade,naics,authority,state,city,address,zip,penalty,citations,violation_types,issued,activity_nr,osha_url
FIDEL ANGEL ALVARADO,5,Concrete_Masonry,238140,Federal OSHA,TX,RICHMOND,2907 PUEBLO FALLS DRIVE,77406,10641.0,3,Serious,2026-07-07T00:00:00,348947060,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348947060
FIDEL ANGEL ALVARADO,5,Concrete_Masonry,238140,Federal OSHA,TX,RICHMOND,2907 PUEBLO FALLS DRIVE,77406,10640.0,7,Serious/Other,2026-07-07T00:00:00,348947003,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348947003
DIAMOND READY MIX,40,Concrete_Masonry,327320,Federal OSHA,TX,HOUSTON,6824 ROMONA BLVD,77086,20000.0,5,Serious,2026-04-29T00:00:00,348578659,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348578659
RM REMODELING SOLUTIONS,2,Concrete_Masonry,238140,Federal OSHA,TX,HOUSTON,511 FM 1960 E,77073,2838.0,1,Serious,2026-04-16T00:00:00,348814468,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348814468
JUAN ADULFO ARREGATA,8,Concrete_Masonry,238140,Federal OSHA,TX,ROSHARON,25151 SH 288,77583,2412.0,3,Serious,2026-03-24T00:00:00,348790239,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348790239
JUAN ADULFO ARREGATA,8,Concrete_Masonry,238140,Federal OSHA,TX,ROSHARON,25151 SH 288,77583,2270.0,4,Serious/Other,2026-03-24T00:00:00,348790262,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348790262
ORTEGA MASONRY INC,5,Concrete_Masonry,238140,Federal OSHA,TX,CONROE,2024 SUGARBERRY GULLY,77301,10214.0,9,Serious/Other,2026-02-06T00:00:00,348525486,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348525486
"PLASTER DESIGN AND MASONRY, LLC",3,Concrete_Masonry,238140,Federal OSHA,TX,HUMBLE,17622 WESTLAKE HOUSTON PARKWAY,77346,12483.0,4,Serious/Other,2026-01-30T00:00:00,348493792,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348493792
OCTAVIO BAZANA,7,Concrete_Masonry,238140,Federal OSHA,TX,SPRING,22426 KUYKENDAHL RD,77389,10782.0,3,Serious,2026-01-30T00:00:00,348514621,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348514621
WILMER ROMERO-MALDONADO,5,Concrete_Masonry,238140,Federal OSHA,TX,CONROE,2422 SOUTH LOOP 336 WEST BLDG. 1401,77304,8514.0,5,Serious,2026-01-22T00:00:00,348511650,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348511650
PAUL YEATTS ENTERPRISE INC.,11,Concrete_Masonry,238140,Federal OSHA,TX,LEAGUE CITY,3535 COLUMBIA MEMORIAL PARKWAY,77574,9930.0,2,Serious,2025-12-17T00:00:00,348517939,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348517939
IMPERIAL MANUFACTURING LLC,8,Concrete_Masonry,327420,Federal OSHA,TX,HOUSTON,521 NORTHVILLE STREET,77037,6810.0,4,Serious/Other,2025-12-16T00:00:00,348610387,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348610387
