company,employees,trade,naics,authority,state,city,address,zip,penalty,citations,violation_types,issued,activity_nr,osha_url
APEX FRAMING LLC,9,Construction_General,238130,Federal OSHA,TX,WEBSTER,3015 SOLACE SPRINGS LN,77598,10782.0,4,Serious,2026-07-13T00:00:00,349006387,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=349006387
JAIME MARTINEZ,6,Construction_General,238130,Federal OSHA,TX,WEBSTER,3018 MELLOW PINES LN,77598,9930.0,3,Serious,2026-07-13T00:00:00,349006270,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=349006270
EAST SIGNS HOUSTON L.L.C.,2,Construction_General,238990,Federal OSHA,TX,HOUSTON,7636 CLAREWOOD DRIVE,77036,7094.0,1,Repeat,2026-07-09T00:00:00,348920083,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348920083
"BLAZEY CONSTRUCTION SERVICES, LLC",30,Construction_General,237110,Federal OSHA,TX,ALVIN,305 LAKE LINE,77511,343797.0,3,Repeat/Other,2026-06-29T00:00:00,348677600,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348677600
"CSA CONSTRUCTION, INC.",20,Construction_General,237110,Federal OSHA,TX,MANVEL,7420 CORPORATE DRIVE,77578,25536.0,3,Serious/Other,2026-06-29T00:00:00,348663030,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348663030
AYDN VILLALTA CONSTRUCTION LLC,9,Construction_General,238130,Federal OSHA,TX,KEMAH,2801 LAWRENCE RD,77565,6242.0,2,Serious,2026-06-22T00:00:00,348906066,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348906066
ERNESTO CRUZ,4,Construction_General,238130,Federal OSHA,TX,RICHMOND,2702 CRESTED CREEK LANE,77406,3761.0,3,Serious,2026-06-22T00:00:00,348946815,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348946815
MARTIN RIVERA,1,Construction_General,238130,Federal OSHA,TX,NEW WAVERLY,110 ROEBUCK LANE,77358,14895.0,3,Serious,2026-06-18T00:00:00,348817669,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348817669
"REDDICO CONSTRUCTION CO., INC.",13,Construction_General,237990,Federal OSHA,TX,ALVIN,780 HWY 35 N BYP,77511,42898.0,6,Serious/Other,2026-06-08T00:00:00,348726993,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348726993
KMNZ CONSTRUCTION LLC,2,Construction_General,238130,Federal OSHA,TX,KATY,3223 W. GRAND PKWY N.,77449,8512.0,3,Serious/Other,2026-06-05T00:00:00,348859679,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348859679
