company,employees,trade,naics,authority,state,city,address,zip,penalty,citations,violation_types,issued,activity_nr,osha_url
TPC GROUP LLC,6,Manufacturing_Industrial,325110,Federal OSHA,TX,HOUSTON,2066 GOODYEAR DRIVE,77017,33100.0,2,Serious,2026-07-28T00:00:00,348734856,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348734856
UNICAT CATALYST TECHNOLOGIES LLC,29,Manufacturing_Industrial,333132,Federal OSHA,TX,ALVIN,5918 S HWY35,77511,29357.0,11,Serious/Other,2026-06-24T00:00:00,348664566,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348664566
"HTX PRODUCTS, LLC",13,Manufacturing_Industrial,339991,Federal OSHA,TX,HOUSTON,333 NORTHPARK CENTRAL DR SUITE A,77073,8512.0,2,Serious/Other,2026-06-03T00:00:00,348683293,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348683293
"AAA CANVAS & AWNING CO., INC.",3,Manufacturing_Industrial,314910,Federal OSHA,TX,SPRING,5330 FM 2920,77388,5793.0,1,Serious,2026-05-11T00:00:00,348704818,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348704818
"INNOVEX INTERNATIONAL, INC.",26,Manufacturing_Industrial,333132,Federal OSHA,TX,HOUSTON,2201 N. SAM HOUSTON PARKWAY W.,77066,22698.0,4,Serious/Other,2026-04-29T00:00:00,348642729,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348642729
GSF PLASTICS CORPORATION,21,Manufacturing_Industrial,326199,Federal OSHA,TX,HOUSTON,12035 PROCTER STREET,77038,7094.0,1,Repeat,2026-03-12T00:00:00,348729328,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348729328
"BAKERS' SIGNS & MANUFACTURING, LLC",2,Manufacturing_Industrial,339950,Federal OSHA,TX,KATY,"24818 MORTON RANCH RD, B100",77493,4966.0,1,Other,2026-02-20T00:00:00,348502253,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348502253
FABRICATION OF RIG & EXPLORATION EQUIPMENT INC.,14,Manufacturing_Industrial,333132,Federal OSHA,TX,CLEVELAND,407 AUSTIN ST.,77327,7150.0,1,Repeat,2026-01-29T00:00:00,348602137,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348602137
SIGN CITY INC.,4,Manufacturing_Industrial,339950,Federal OSHA,TX,KATY,1811 W GRAND PKWY,77493,2128.0,1,Serious,2025-12-08T00:00:00,348502188,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348502188
"AAA CANVAS & AWNING CO., INC.",2,Manufacturing_Industrial,314910,Federal OSHA,TX,CONROE,213 S. LOOP 336 W.,77304,5959.0,1,Serious,2025-09-29T00:00:00,348510355,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348510355
