company,employees,trade,naics,authority,state,city,address,zip,penalty,citations,violation_types,issued,activity_nr,osha_url
SOUTH COAST MANUFACTURING LLC,15,Metal_Welding_Fabrication,332312,Federal OSHA,TX,GALENA PARK,502 SOUTH MAIN STREET,77547,8514.0,7,Other,2026-07-22T00:00:00,348942194,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348942194
R&S MANUFACTURING LLC,13,Metal_Welding_Fabrication,332999,Federal OSHA,TX,HOUSTON,5695 SURREY SQUARE STREET,77017,7944.0,4,Serious/Other,2026-06-30T00:00:00,348665027,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348665027
BLACKBURN MACHINE & FAB LLC,6,Metal_Welding_Fabrication,332322,Federal OSHA,TX,HOUSTON,7525 WYNLEA STREET,77061,28908.0,8,Repeat/Serious,2026-06-24T00:00:00,348745829,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348745829
"GULF COAST ERECTORS, INC.",43,Metal_Welding_Fabrication,238120,Federal OSHA,TX,HOUSTON,2990 CLINTON DR.,77020,9731.0,1,Serious,2026-06-15T00:00:00,348658931,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348658931
"STEFFANI METALS, INC.",44,Metal_Welding_Fabrication,332312,Federal OSHA,TX,HOUSTON,6811 SATSUMA DRIVE,77041,8340.0,1,Serious,2026-06-05T00:00:00,348745845,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348745845
ALUMANATE LLC,38,Metal_Welding_Fabrication,331315,Federal OSHA,TX,HOUSTON,842 BUSCHONG STREET,77039,13902.0,2,Serious,2026-06-04T00:00:00,348686718,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348686718
"PATCO MACHINE & FAB., INC.",24,Metal_Welding_Fabrication,332710,Federal OSHA,TX,HOUSTON,2002 HUMBLE WESTFIELD ROAD,77073,1447.0,3,Serious,2026-05-07T00:00:00,348814658,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348814658
HOUSTON CENTERLESS GRINDING SERVICES LLC,27,Metal_Welding_Fabrication,332710,Federal OSHA,TX,HOUSTON,1102 HUB STREET,77023,23361.0,11,Serious,2026-04-30T00:00:00,348581315,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348581315
ARNOLD'S METAL FINISHING OF TEXAS INC.,10,Metal_Welding_Fabrication,332710,Federal OSHA,TX,TOMBALL,520 CHESTNUT BUSINESS PARK DRIVE,77375,11826.0,7,Serious/Other,2026-04-22T00:00:00,348665969,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348665969
H.P.M. SHEET METAL LLC,1,Metal_Welding_Fabrication,238120,Federal OSHA,TX,KATY,6930 KATY GASTON ROAD,77494,1809.0,1,Serious,2026-04-13T00:00:00,348836222,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348836222
MZ ROOFING & SHEETMETAL LLC,5,Metal_Welding_Fabrication,238120,Federal OSHA,TX,KATY,6930 KATY GASTON ROAD,77494,1447.0,1,Serious,2026-04-13T00:00:00,348836248,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348836248
"HMC INSTRUMENT & MACHINE WORKS, LTD.",23,Metal_Welding_Fabrication,332710,Federal OSHA,TX,HOUSTON,2325 BLALOCK ROAD,77080,2894.0,2,Serious,2026-03-25T00:00:00,348767591,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348767591
QRO FABRICATION N WELDING,15,Metal_Welding_Fabrication,238120,Federal OSHA,TX,PORTER,20700 F.M. 1314 HIGHLANDS MIDDLE SCHOOL CONSTRUCTION PROJECT,77365,6810.0,4,Serious,2026-02-23T00:00:00,348671702,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348671702
"LIBERTY FORGE, INC.",40,Metal_Welding_Fabrication,332111,Federal OSHA,TX,LIBERTY,1507 FORT WORTH ST.,77575,34756.0,4,Serious,2026-02-20T00:00:00,348601956,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348601956
"NEW ENGLAND LEAD BURNING COMPANY, INC",22,Metal_Welding_Fabrication,332321,Federal OSHA,TX,HOUSTON,4600 HOMESTEAD ROAD,77028,13406.0,3,Other,2026-01-23T00:00:00,348528555,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348528555
"FLEXMASTER, U.S.A., INC.",28,Metal_Welding_Fabrication,332322,Federal OSHA,TX,HOUSTON,4545 PINE TIMBERS STE. 324,77041,6951.0,1,Serious,2025-09-26T00:00:00,348505108,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348505108
