company,employees,trade,naics,authority,state,city,address,zip,penalty,citations,violation_types,issued,activity_nr,osha_url
"TURNAROUND SERVICES, LLC",6,Other,811310,Federal OSHA,TX,HOUSTON,2066 GOODYEAR DRIVE,77017,23832.0,2,Serious,2026-07-28T00:00:00,348734799,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348734799
"BWC TERMINALS, LLC",7,Other,424710,Federal OSHA,TX,HOUSTON,16335 PENINSULA STREET,77015,82750.0,6,Serious,2026-06-26T00:00:00,348670621,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348670621
"CSN, LLC",11,Other,517410,Federal OSHA,TX,HUMBLE,HOME DEPOT 20360 US-59 N,77338,6810.0,2,Serious/Other,2026-06-18T00:00:00,348806860,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348806860
"RAVEN ENVIRONMENTAL SERVICES, INC.",17,Other,115310,Federal OSHA,TX,HOCKLEY,WARREN RANCH RD/COASTAL PRAIRIE,77447,11349.0,5,Serious/Other,2026-06-10T00:00:00,348709627,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348709627
JULIO'S BODY SHOP AND COLLISION REPAIR,4,Other,811121,Federal OSHA,TX,HOUSTON,3262 FRICK RD,77086,8086.0,3,Serious/Other,2026-06-09T00:00:00,348793506,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348793506
"MARTIN FEIN INTERESTS, LTD.",10,Other,531311,Federal OSHA,TX,SPRING,1600 SPRINGWOODS PLAZA DR. STAIR D ON 1ST FLOOR,77389,3940.0,1,Other,2026-06-05T00:00:00,348806084,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348806084
"ARCHITECTURAL SURFACES GROUP, LLC",6,Other,423390,Federal OSHA,TX,BAYTOWN,4221 SOUTH FARM-TO-MARKET 565 ROAD,77523,80388.0,8,Serious/Other,2026-06-01T00:00:00,348626540,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348626540
"MICHAEL STEVENS INTERESTS, INC.",4,Other,531110,Federal OSHA,TX,ROSENBERG,1811 CITY HALL DR.,77471,1703.0,1,Serious,2026-05-29T00:00:00,348812561,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348812561
"CUTTEN LOGISTICS, LLC",18,Other,493110,Federal OSHA,TX,HOUSTON,12202 CUTTEN RD,77065,1703.0,2,Serious,2026-05-27T00:00:00,348876491,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348876491
CRITTER ONE OF HOUSTON,5,Other,561710,Federal OSHA,TX,HOUSTON,6500 RODRIGO ST UNIT B,77007,9930.0,3,Serious,2026-04-28T00:00:00,348587502,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348587502
"WATER DISTRICT MANAGEMENT CO., INC.",4,Other,221310,Federal OSHA,TX,SPRING,5330 FM 2920,77388,3973.0,1,Serious,2026-04-23T00:00:00,348689217,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348689217
"TUFFTOP RV ROOF, LLC",7,Other,811111,Federal OSHA,TX,WILLIS,17742 N HIGHWAY 75,77318,5789.0,6,Serious,2026-04-22T00:00:00,348632001,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348632001
SAMUEL SON & CO,49,Other,423510,Federal OSHA,TX,HOUSTON,5022 ASHLEY COURT,77041,40000.0,1,Repeat,2026-04-10T00:00:00,348700915,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348700915
SAMUEL SON & CO,47,Other,423510,Federal OSHA,TX,HOUSTON,5022 ASHLEY COURT,77041,5000.0,1,Other,2026-04-10T00:00:00,348702077,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348702077
GEORGE'S AUTO SALES & SERVICES,3,Other,811111,Federal OSHA,TX,HOUSTON,2432 KELLY LANE,77066,5676.0,2,Serious,2026-03-17T00:00:00,348581042,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348581042
"NANKANI & SONS, INC.",4,Other,561790,Federal OSHA,TX,CONROE,10221 PRAIRIE CREEK LANE,77384,23170.0,5,Serious,2026-03-06T00:00:00,348493941,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348493941
"BUFFALO SPECIALTIES, INC.",35,Other,541890,Federal OSHA,TX,HOUSTON,10502 FALLSTONE ROAD,77099,3641.0,2,Serious/Other,2026-02-26T00:00:00,348613472,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348613472
"RHG, LLC",25,Other,423320,Federal OSHA,TX,HOUSTON,3560 WEST 12TH STREET,77008,4256.0,2,Serious/Other,2026-02-19T00:00:00,348495797,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348495797
"WIN. IT AMERICA, INC.",48,Other,493110,Federal OSHA,TX,HOUSTON,11142 BELTLINE ROAD,77067,18000.0,2,Serious,2026-02-17T00:00:00,348487729,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348487729
"LMMM HOUSTON #80, LTD.",25,Other,445210,Federal OSHA,TX,NEW CANEY,20185 US HIGHWAY 59 SUITE 200,77357,165514.0,1,Repeat,2026-02-04T00:00:00,348598061,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348598061
DEL NORTE HARVESTING LLC,48,Other,115115,Federal OSHA,TX,GLEN FLORA,1 TREE TOWN ROAD,77443,5000.0,1,Other,2026-01-29T00:00:00,348487992,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348487992
"NMJ, INC",30,Other,531311,Federal OSHA,TX,HOUSTON,8039 BOONE ROAD,77072,6621.0,1,Other,2025-11-26T00:00:00,348593203,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348593203
