company,employees,trade,naics,authority,state,city,address,zip,penalty,citations,violation_types,issued,activity_nr,osha_url
AGUIRRES ROOFING LLC,6,Roofing,238160,Federal OSHA,TX,HUMBLE,610 NORTH HOUSTON AVE,77338,14754.0,5,Serious/Other,2026-07-20T00:00:00,348736489,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348736489
JOSE GARCIA,3,Roofing,238160,Federal OSHA,TX,WEBSTER,18027 DISCOVERY ELM ST,77598,6242.0,2,Serious,2026-07-13T00:00:00,349006312,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=349006312
JUAN LOPEZ,4,Roofing,238160,Federal OSHA,TX,WEBSTER,2954 MELLOW PINES LN,77598,2838.0,1,Serious,2026-07-13T00:00:00,349006239,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=349006239
ROMERO MAURO GARCIA,4,Roofing,238160,Federal OSHA,TX,CYPRESS,20054 SUNSET SERENADE,77433,5676.0,2,Serious,2026-07-09T00:00:00,348853235,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348853235
RODRIGO FLORES,1,Roofing,238160,Federal OSHA,TX,CYPRESS,11402 RUFFER TREE CT.,77433,5108.0,1,Repeat,2026-06-23T00:00:00,348853128,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348853128
RODRIGO FLORES,1,Roofing,238160,Federal OSHA,TX,KATY,1089 RIVER ROCK CIRCLE,77493,5107.0,1,Repeat,2026-06-23T00:00:00,348973587,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348973587
JC&G CONSTRUCTION LLC,4,Roofing,238160,Federal OSHA,TX,THE WOODLANDS,4775 W. PANTHER CREEK DR,77381,2838.0,1,Serious,2026-06-09T00:00:00,348919648,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348919648
ANGEL ROCHA,4,Roofing,238160,Federal OSHA,TX,CYPRESS,21515 DRUMMOND COVE,77433,3972.0,1,Serious,2026-06-05T00:00:00,348787037,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348787037
EVER JOSUE TROCHEZ,5,Roofing,238160,Federal OSHA,TX,CONROE,11300 IH 45 SOUTH,77304,2838.0,1,Serious,2026-06-05T00:00:00,348919978,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348919978
SERGIO CORTES,2,Roofing,238160,Federal OSHA,TX,WILLIS,11626 RUFFIAN DRIVE,77318,5676.0,2,Serious,2026-06-02T00:00:00,348917147,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348917147
